XLabel,Wavenumber;;;;;;;;;
YLabel,Absorbance;;;;;;;;;
FileType,Absorbance;;;;;;;;;
DisplayDirection,20300;;Palha de cana de açúcar;;Bagaço de Malte;;Casca de babaçu;;Cana energia;
PeakDirection,20310;;;;;;;;;
762.240588,0.119421;;762,240588;0,119421;762,240588;0,133449;762,240588;0,047327;762,240588;0,085114
764.104257,0.118573;;764,104257;0,118573;764,104257;0,132475;764,104257;0,047567;764,104257;0,084483
765.967926,0.118165;;765,967926;0,118165;765,967926;0,131395;765,967926;0,04782;765,967926;0,083749
767.831594,0.117687;;767,831594;0,117687;767,831594;0,130895;767,831594;0,047769;767,831594;0,083555
769.695263,0.116908;;769,695263;0,116908;769,695263;0,130255;769,695263;0,047447;769,695263;0,083499
771.558932,0.116384;;771,558932;0,116384;771,558932;0,129767;771,558932;0,047437;771,558932;0,083035
773.422601,0.115916;;773,422601;0,115916;773,422601;0,129245;773,422601;0,047487;773,422601;0,082316
775.286270,0.115775;;775,28627;0,115775;775,28627;0,128415;775,28627;0,047306;775,28627;0,082004
777.149939,0.115811;;777,149939;0,115811;777,149939;0,127877;777,149939;0,047077;777,149939;0,0819
779.013608,0.115465;;779,013608;0,115465;779,013608;0,1277;779,013608;0,046951;779,013608;0,081947
780.877277,0.114915;;780,877277;0,114915;780,877277;0,127315;780,877277;0,046943;780,877277;0,081838
782.740946,0.115091;;782,740946;0,115091;782,740946;0,126718;782,740946;0,047159;782,740946;0,081839
784.604615,0.115724;;784,604615;0,115724;784,604615;0,125598;784,604615;0,047297;784,604615;0,082115
786.468284,0.116189;;786,468284;0,116189;786,468284;0,12402;786,468284;0,047565;786,468284;0,082175
788.331953,0.116151;;788,331953;0,116151;788,331953;0,122374;788,331953;0,047865;788,331953;0,081979
790.195621,0.116056;;790,195621;0,116056;790,195621;0,12158;790,195621;0,047887;790,195621;0,082395
792.059290,0.115931;;792,05929;0,115931;792,05929;0,121253;792,05929;0,04794;792,05929;0,08278
793.922959,0.115853;;793,922959;0,115853;793,922959;0,120841;793,922959;0,047899;793,922959;0,082809
795.786628,0.115653;;795,786628;0,115653;795,786628;0,120349;795,786628;0,047715;795,786628;0,082698
797.650297,0.115188;;797,650297;0,115188;797,650297;0,119575;797,650297;0,047936;797,650297;0,082721
799.513966,0.114904;;799,513966;0,114904;799,513966;0,118891;799,513966;0,048547;799,513966;0,082911
801.377635,0.115106;;801,377635;0,115106;801,377635;0,118511;801,377635;0,048652;801,377635;0,083153
803.241304,0.114930;;803,241304;0,11493;803,241304;0,118045;803,241304;0,048484;803,241304;0,08375
805.104973,0.114747;;805,104973;0,114747;805,104973;0,117802;805,104973;0,048511;805,104973;0,084374
806.968642,0.114738;;806,968642;0,114738;806,968642;0,117449;806,968642;0,048836;806,968642;0,084463
808.832311,0.114651;;808,832311;0,114651;808,832311;0,117037;808,832311;0,049201;808,832311;0,084776
810.695980,0.114892;;810,69598;0,114892;810,69598;0,116657;810,69598;0,049235;810,69598;0,085381
812.559649,0.115637;;812,559649;0,115637;812,559649;0,11618;812,559649;0,049368;812,559649;0,085886
814.423317,0.115845;;814,423317;0,115845;814,423317;0,115418;814,423317;0,04988;814,423317;0,086678
816.286986,0.115518;;816,286986;0,115518;816,286986;0,114791;816,286986;0,050471;816,286986;0,08767
818.150655,0.115702;;818,150655;0,115702;818,150655;0,114538;818,150655;0,050735;818,150655;0,088595
820.014324,0.116313;;820,014324;0,116313;820,014324;0,114452;820,014324;0,050895;820,014324;0,089733
821.877993,0.116651;;821,877993;0,116651;821,877993;0,114109;821,877993;0,051242;821,877993;0,090668
823.741662,0.116675;;823,741662;0,116675;823,741662;0,11394;823,741662;0,051854;823,741662;0,091618
825.605331,0.116572;;825,605331;0,116572;825,605331;0,113854;825,605331;0,052074;825,605331;0,092954
827.469000,0.116878;;827,469;0,116878;827,469;0,113793;827,469;0,052169;827,469;0,094419
829.332669,0.117056;;829,332669;0,117056;829,332669;0,114021;829,332669;0,05268;829,332669;0,095775
831.196338,0.117223;;831,196338;0,117223;831,196338;0,114097;831,196338;0,053079;831,196338;0,096811
833.060007,0.117458;;833,060007;0,117458;833,060007;0,11377;833,060007;0,052973;833,060007;0,096713
834.923676,0.117328;;834,923676;0,117328;834,923676;0,113515;834,923676;0,052609;834,923676;0,095492
836.787344,0.116785;;836,787344;0,116785;836,787344;0,113486;836,787344;0,052127;836,787344;0,09368
838.651013,0.116271;;838,651013;0,116271;838,651013;0,113716;838,651013;0,051654;838,651013;0,091449
840.514682,0.115613;;840,514682;0,115613;840,514682;0,11354;840,514682;0,051225;840,514682;0,089151
842.378351,0.114594;;842,378351;0,114594;842,378351;0,113599;842,378351;0,050926;842,378351;0,087189
844.242020,0.113297;;844,24202;0,113297;844,24202;0,113897;844,24202;0,050384;844,24202;0,08551
846.105689,0.112467;;846,105689;0,112467;846,105689;0,114053;846,105689;0,04988;846,105689;0,084673
